"from","to","weight"
"Category:Meta-analysis","Category:Time series analysis",68
"Category:Statistical theorems","Category:Generalized linear models",9
"Category:Design of experiments","Category:Multivariate continuous distributions",3
"Category:Distributions with conjugate priors","Category:Continuous distributions",559
"Category:Statistical distance measures","Category:Probability distributions",25
"Category:Probability stubs","Category:Statistical principles",2
"Category:Point processes","Category:Statistics-related lists",2
"Category:Latent variable models","Category:Statistical tests",8
"Category:Evidence-based medicine","Category:Fields of application of statistics",7
"Category:Model selection","Category:Estimation of densities",4
"Category:Market research statistics","Category:Regression analysis",3
"Category:Statistical randomness","Category:Evidence-based medicine",3
"Category:Evidence-based medicine","Category:Robust statistics",3
"Category:Biostatistics","Category:Scale statistics",8
"Category:Statistical classification","Category:Categorical data",62
"Category:Population ecology","Category:Computational statistics",1
"Category:Demography","Category:Risk factors",1
"Category:Multiple comparisons","Category:Conjugate prior distributions",2
"Category:Optimal decisions","Category:Econometrics",38
"Category:Engineering statistics","Category:Multivariate time series analysis",8
"Category:Categorical data","Category:Information theory",5
"Category:Statistical inference","Category:Robust regression",16
"Category:Graphical models","Category:Loss functions",1
"Category:Decision theory","Category:Evidence-based medicine",3
"Category:Summary statistics for contingency tables","Category:Effect size",7
"Category:Risk analysis","Category:Risk analysis",3
"Category:Pharmaceutical statistics","Category:Model selection",2
"Category:Means","Category:Clustering criteria",1
"Category:Estimation of densities","Category:Evidence-based medicine",1
"Category:Statistics education","Category:Cluster analysis",1
"Category:Variance reduction","Category:Engineering statistics",8
"Category:Normality tests","Category:Exponential family distributions",18
"Category:Types of probability distributions","Category:Point processes",1
"Category:Statistical models","Category:Markov chain Monte Carlo",6
"Category:Point estimation performance","Category:Statistics articles needing expert attention",9
"Category:Regression with time series structure","Category:Statistical outliers",1
"Category:Latent variable models","Category:Statistical methods",18
"Category:Statistical laws","Category:Statistical software",1
"Category:Statistical classification","Category:Quality control",20
"Category:Variance reduction","Category:Cheminformatics",1
"Category:Random matrices","Category:Theory of probability distributions",54
"Category:Logic and statistics","Category:Data analysis",52
"Category:Probability theory","Category:Statistical forecasting",11
"Category:Markov models","Category:Medical statistics",1
"Category:Statistical mechanics","Category:Regression analysis",25
"Category:Statistical theory","Category:Probability",5
"Category:Statistics stubs","Category:Statistical outliers",17
"Category:Time series models","Category:Probability stubs",45
"Category:Monte Carlo methods","Category:Regression with time series structure",1
"Category:Latent variable models","Category:Statistical programming languages",4
"Category:Misuse of statistics","Category:Analysis of variance",6
"Category:Regression with time series structure","Category:Statistical charts and diagrams",15
"Category:Poisson processes","Category:Markov chain Monte Carlo",1
"Category:Nonlinear time series analysis","Category:Demography",6
"Category:Data mining","Category:Geostatistics",11
"Category:Statistical deviation and dispersion","Category:Statistical deviation and dispersion",454
"Category:Statistical outliers","Category:Probability theory",3
"Category:History of statistics","Category:Population ecology",1
"Category:Point estimation performance","Category:Econometrics",20
"Category:Effect size","Category:Bioinformatics",2
"Category:Statistical tests","Category:Multivariate continuous distributions",2
"Category:Psephology","Category:Categorical data",10
"Category:Statistics articles needing expert attention","Category:Missing data",4
"Category:Statistical dependence","Category:Survival analysis",88
"Category:Uncertainty of numbers","Category:Statistical outliers",1
"Category:Asymptotic statistical theory","Category:Mathematical finance",2
"Category:Statistical ratios","Category:Types of probability distributions",26
"Category:Multivariate discrete distributions","Category:Stochastic processes",2
"Category:Classification algorithms","Category:Psychometrics",21
"Category:Statistical ratios","Category:Uncertainty of numbers",5
"Category:Statistical ratios","Category:Regression variable selection",23
"Category:Social statistics","Category:Time series analysis",19
"Category:Graphical models","Category:Engineering statistics",18
"Category:Psychometrics","Category:Engineering statistics",62
"Category:Algebra of random variables","Category:Estimation of densities",2
"Category:Causal inference","Category:Variance reduction",6
"Category:Normality tests","Category:Inter-rater reliability",5
"Category:Statisticians","Category:Regression with time series structure",1
"Category:Conjugate prior distributions","Category:Robust statistics",7
"Category:Data analysis","Category:Geostatistics",71
"Category:Point processes","Category:Classification algorithms",3
"Category:Statistical theory","Category:Data collection",73
"Category:Statistics stubs","Category:Hypothesis testing",59
"Category:Hypothesis testing","Category:Latent variable models",14
"Category:Statistical distance measures","Category:Point estimation performance",2
"Category:Graphical models","Category:Decision theory",4
"Category:Signal processing","Category:Social statistics",6
"Category:Clustering criteria","Category:Design of experiments",2
"Category:Laymen and statistics","Category:Estimation of densities",1
"Category:Probability distributions with non-finite variance","Category:Algebra of random variables",26
